batch,horizon_h,variable,rmse,mae,pearson
7,24,v10,0.8757987022399902,0.6561717987060547,0.3063753843307495
7,24,t2m,0.5662685632705688,0.4519716501235962,0.828622043132782
7,24,msl,1.0176966190338135,0.8173364400863647,0.6817417740821838
8,6,u10,0.7848600745201111,0.5997675657272339,0.5733029246330261
8,6,v10,0.84794020652771,0.6567209959030151,0.296007364988327
8,6,t2m,0.6562047004699707,0.5159832239151001,0.8053577542304993
8,6,msl,0.46976128220558167,0.37700146436691284,0.8564367890357971
8,12,u10,0.8557451963424683,0.6253737807273865,0.46587786078453064
8,12,v10,0.9565637707710266,0.728186309337616,0.35069307684898376
8,12,t2m,0.6172557473182678,0.4805331826210022,0.8353284597396851
8,12,msl,0.5564707517623901,0.44235408306121826,0.8370829820632935
8,18,u10,0.9354900121688843,0.6749967336654663,0.4757101237773895
8,18,v10,0.9811571836471558,0.7581247687339783,0.21038340032100677
8,18,t2m,0.5655626058578491,0.4537047743797302,0.8158235549926758
8,18,msl,0.7753601670265198,0.6186806559562683,0.795756459236145
8,24,u10,0.980079710483551,0.7303882241249084,0.4336709976196289
8,24,v10,1.311663269996643,0.9584755897521973,-0.07987949252128601
8,24,t2m,0.5389173626899719,0.4395264983177185,0.8298300504684448
8,24,msl,0.8689315319061279,0.7035192251205444,0.654015839099884
9,6,u10,0.8185287117958069,0.6014553308486938,0.568482518196106
9,6,v10,0.8427388072013855,0.6501637697219849,0.4980780780315399
9,6,t2m,0.5797710418701172,0.45984315872192383,0.8521111011505127
9,6,msl,0.5299953818321228,0.4324246346950531,0.9004030227661133
9,12,u10,0.9300009608268738,0.690674901008606,0.47532492876052856
9,12,v10,0.9661926031112671,0.7666608691215515,0.13427501916885376
9,12,t2m,0.5907354354858398,0.47614163160324097,0.8207203149795532
9,12,msl,0.7398120760917664,0.6076276302337646,0.8652830123901367
9,18,u10,0.9320191740989685,0.6882292032241821,0.43233639001846313
9,18,v10,1.248397946357727,0.8971142768859863,-0.08345983177423477
9,18,t2m,0.5528708100318909,0.4605526924133301,0.8198183178901672
9,18,msl,0.7519356608390808,0.6187384128570557,0.7079716324806213
9,24,u10,1.0573598146438599,0.7355344295501709,0.39071735739707947
9,24,v10,1.194693684577942,0.8117811679840088,0.049155980348587036
9,24,t2m,0.4862578809261322,0.3975061774253845,0.86396723985672
9,24,msl,0.7051652669906616,0.5101079940795898,0.47073060274124146
10,6,u10,0.8375328183174133,0.6272038817405701,0.6084411144256592
10,6,v10,0.9387296438217163,0.7247738838195801,0.3377256393432617
10,6,t2m,0.6010212898254395,0.4837973713874817,0.811059832572937
10,6,msl,0.676764965057373,0.5754790306091309,0.8858141899108887
10,12,u10,0.8814799785614014,0.6384181976318359,0.4396667182445526
10,12,v10,1.2034353017807007,0.8314943313598633,0.0069806380197405815
10,12,t2m,0.5841349959373474,0.4810161888599396,0.8219307661056519
10,12,msl,0.715588390827179,0.5623894929885864,0.7061704397201538
10,18,u10,1.0391006469726562,0.7199639081954956,0.44625619053840637
10,18,v10,1.049125075340271,0.7398795485496521,0.19117006659507751
10,18,t2m,0.48538339138031006,0.39675724506378174,0.8785457611083984
10,18,msl,0.7308192253112793,0.5041923522949219,0.5234076976776123
10,24,u10,0.9126214385032654,0.6637461185455322,0.5302186608314514
10,24,v10,0.8498453497886658,0.6550030708312988,0.5467464327812195
10,24,t2m,0.524695634841919,0.4130105972290039,0.856786847114563
10,24,msl,0.5726463794708252,0.4521321654319763,0.6488338708877563
11,6,u10,0.7864636182785034,0.5601580142974854,0.5316949486732483
11,6,v10,0.9307977557182312,0.628250241279602,0.49622097611427307
11,6,t2m,0.5392292141914368,0.4307774305343628,0.8616218566894531
11,6,msl,0.6014825105667114,0.422958105802536,0.7980313301086426
11,12,u10,0.9052256941795349,0.6362208724021912,0.4787715971469879
11,12,v10,0.8634929060935974,0.6339951753616333,0.3771781325340271
11,12,t2m,0.599822998046875,0.46772080659866333,0.8372897505760193
11,12,msl,0.6849030256271362,0.4819831848144531,0.5811826586723328
11,18,u10,0.7504562139511108,0.5694862604141235,0.567974865436554
11,18,v10,0.8485923409461975,0.6295656561851501,0.5500529408454895
11,18,t2m,0.5675652623176575,0.449648916721344,0.8419980406761169
11,18,msl,0.6243347525596619,0.48799851536750793,0.667153000831604
11,24,u10,1.1133228540420532,0.7916648387908936,0.4802362024784088
11,24,v10,1.0685882568359375,0.762630820274353,0.4247179329395294
11,24,t2m,0.5900570750236511,0.46973419189453125,0.8202577233314514
11,24,msl,1.068637490272522,0.6662601828575134,0.15399128198623657
12,6,u10,0.7227109670639038,0.5199887752532959,0.6972600221633911
12,6,v10,0.6918643116950989,0.5120254158973694,0.5300098657608032
12,6,t2m,0.6097370386123657,0.45401158928871155,0.8413199186325073
12,6,msl,0.6468037962913513,0.5395142436027527,0.7943474650382996
12,12,u10,0.7530086636543274,0.546635627746582,0.6370182633399963
12,12,v10,0.8174132108688354,0.5859143733978271,0.5347226858139038
12,12,t2m,0.6530141234397888,0.502676784992218,0.8236944079399109
12,12,msl,0.8060813546180725,0.6328470706939697,0.6159572005271912
12,18,u10,1.0677577257156372,0.7716646194458008,0.5162840485572815
12,18,v10,0.9630939960479736,0.6971635818481445,0.4469946324825287
12,18,t2m,0.5953181982040405,0.4663153886795044,0.8004008531570435
12,18,msl,1.0795449018478394,0.7381013035774231,0.14534826576709747
12,24,u10,0.9100708961486816,0.6961982250213623,0.34296172857284546
12,24,v10,1.1257355213165283,0.8456058502197266,0.5629516243934631
12,24,t2m,0.6234058737754822,0.4709562361240387,0.7579185962677002
12,24,msl,1.1332330703735352,0.8489850163459778,-0.07161210477352142
13,6,u10,0.7933664321899414,0.55780029296875,0.7156927585601807
13,6,v10,0.8317489624023438,0.5360003709793091,0.4520707428455353
13,6,t2m,0.649422287940979,0.5047736167907715,0.8301684260368347
13,6,msl,0.891433596611023,0.6873394250869751,0.47765684127807617
13,12,u10,0.997344434261322,0.7560604810714722,0.5183473825454712
13,12,v10,0.9244837164878845,0.6854657530784607,0.4432523846626282
13,12,t2m,0.6471928954124451,0.4991053342819214,0.7852076292037964
13,12,msl,1.0254464149475098,0.7933603525161743,0.051533374935388565
13,18,u10,0.8505343794822693,0.6704748868942261,0.30359187722206116
13,18,v10,1.025555968284607,0.786765992641449,0.6288964748382568
13,18,t2m,0.676622211933136,0.5074019432067871,0.7176599502563477
13,18,msl,0.8878509998321533,0.7096723318099976,0.12439969182014465
13,24,u10,1.0350712537765503,0.8085973262786865,0.22883926331996918
13,24,v10,0.9580085873603821,0.7393530607223511,0.6938263773918152
13,24,t2m,0.6167170405387878,0.5004951357841492,0.7460084557533264
13,24,msl,1.0236331224441528,0.8148202300071716,0.5233068466186523
14,6,u10,0.8496279716491699,0.6657960414886475,0.6227492690086365
14,6,v10,0.9695000052452087,0.733116865158081,0.4460151195526123
14,6,t2m,0.6648319959640503,0.49361467361450195,0.7663905620574951
14,6,msl,0.8022218942642212,0.6428294777870178,0.3406875729560852
14,12,u10,0.9027963280677795,0.7166489958763123,0.3059816062450409
14,12,v10,1.020384430885315,0.7845379710197449,0.6024286150932312
14,12,t2m,0.6670674085617065,0.5081256628036499,0.7569811940193176
14,12,msl,0.816231906414032,0.6547951102256775,0.16985882818698883
14,18,u10,1.0592514276504517,0.8479219675064087,0.17333106696605682
14,18,v10,0.8933135271072388,0.6968485116958618,0.640577495098114
14,18,t2m,0.6663075089454651,0.5538136959075928,0.7140260934829712
14,18,msl,0.936046302318573,0.7360132932662964,0.5865017771720886
14,24,u10,0.8964166045188904,0.7373300790786743,0.3187616467475891
14,24,v10,0.738135039806366,0.5635931491851807,0.47107309103012085
14,24,t2m,0.719348669052124,0.610923707485199,0.6861264705657959
14,24,msl,0.9490441679954529,0.7382277846336365,0.7028033137321472
15,6,u10,0.9531415700912476,0.7464168667793274,0.4321427643299103
15,6,v10,0.8880105018615723,0.6886285543441772,0.8090044856071472
15,6,t2m,0.702793300151825,0.5406872630119324,0.7266603708267212
15,6,msl,0.7061391472816467,0.5621165633201599,0.5613319277763367
15,12,u10,1.032137155532837,0.8304240107536316,0.14305748045444489
15,12,v10,0.837698757648468,0.6554775238037109,0.6530427932739258
15,12,t2m,0.7903628349304199,0.652332067489624,0.6777288913726807
15,12,msl,0.9023599624633789,0.7434537410736084,0.6857370734214783
15,18,u10,0.914704442024231,0.7439521551132202,0.2847580015659332
15,18,v10,0.6768205165863037,0.5270887613296509,0.45884615182876587
15,18,t2m,0.7670267224311829,0.6508429646492004,0.6373289823532104
15,18,msl,0.9879114627838135,0.7818660736083984,0.6693700551986694
15,24,u10,0.8657307624816895,0.688767671585083,0.03596661984920502
15,24,v10,0.64043128490448,0.47790196537971497,0.334900438785553
15,24,t2m,0.7413781881332397,0.6130949258804321,0.604241132736206
15,24,msl,0.9574840068817139,0.7283819913864136,0.4464600086212158
16,6,u10,0.9236433506011963,0.7186989784240723,0.47534579038619995
16,6,v10,0.7946021556854248,0.617728590965271,0.6657121777534485
